id,sr_no,citation,category_name,details,year,created_at,user_id,updated_at
5e2c0f37-e6dc-450c-98be-6f1131c04bc9,50,2026 PCRLJ Lahore 472,Miscellaneous,"Petitioner claimed that the calls made to rescue 15, no name of a accused was disclosed in it and requested to summon that wireless operator as Court witness along with record but the court refused. Held that the said witness was necessary for the just decision of the case. Said documents / rapats were relevant under article 24 Qanoon e  shahadat order 1984.  Application allowed",2026,2026-05-15T06:45:13.162318+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-15T06:45:13.162318+00:00
78a76e44-c5e4-4a2b-91c8-272499a2994e,51,2026 SCMR 480,Miscellaneous,The legal hair did not challenge before high Court the statements of compromise recorded by trial post. Once the statements were made before trial court the matter has become concluded and the legal hairs could not retract their statements later on.,2026,2026-05-16T05:48:46.907688+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T05:48:46.907688+00:00
9f44a70b-158c-434d-ac00-906ebc47006d,52,2026 MLD Lahore 525,Miscellaneous,"Child marriage restrained Act 1929.
 The justice of peace has no power to direct the police to register a case under the provisions of child marriage restrained act. The union council is under obligation to act on the information and lodge a complaint before competent court in a accordance with section 9 of said act. If Union council failed to do so then RIT petition of Mandamus  under article 199 can be filed before high Court.",2026,2026-05-16T06:43:14.873597+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T06:43:14.873597+00:00
34e2cfa2-283e-47a1-a192-109f3161f85c,50,2026 MLD 420 Lahore,Appreciation of Evidence,"Falsus in uno, Falsus in omnibus. 
If a witness is not coming out with the whole truth than his evidence is liable to be discarded as a whole.",2026,2026-05-16T06:51:09.830385+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T06:51:09.830385+00:00
10d899b2-7a8f-40a4-a277-1c53076402f0,53,2026 MLD 575 Lahore,Miscellaneous,"Dismissal of private complaint. 
Trial court while considering the facts of other connected cases not available in the evidence of complaint case had travelled beyond its jurisdiction. The high Court Sat aside the order of the the trial court and directed the trial court to issue process under section 204 CrPC against respondents and to proceed with the trial in due course of law.",2026,2026-05-16T07:08:50.092409+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T07:08:50.092409+00:00
23b78693-7ded-4be5-a153-46e76febe71d,51,2026 YLR 712 Lahore,Appreciation of Evidence,"The accused got recovered the pistol ie. crime weapon from his house but the I.O did not join any witness of the locality during the recovery proceedings of said pistol, therefore, he violated the law under section 103 CRPC. The recovery of pistol cannot be used as incriminating evidence against the accused and the accused was acquitted from the charge.",2026,2026-05-16T07:57:22.387961+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T07:57:22.387961+00:00
d642b444-77f9-43c0-9941-7fe4ff811622,55,PLD 1994 Lahore 485,Miscellaneous,In the case of cognizable offences receipt and recording of a first information report is not a condition President to the setting in motion of a criminal investigation. Delay in recording of fir,1994,2026-05-16T08:15:33.771035+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-18T17:55:43.812669+00:00
bc149a66-b109-4ddd-bd62-b78590742532,53,2026 SCMR 674,Appreciation of Evidence,"There was no other independent corroboration of the prosecution case against petitioner, hence the prosecution evidence which had already been disbelieved against the acquitted 
 co-accused could not be believed against the petitioner without independent corroboration. accused acquitted",2026,2026-05-22T06:58:25.00613+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-22T06:58:25.00613+00:00
54883678-8a7a-4b8d-8630-c76a8ce91b71,55,PLD 2026 SC 187,Appreciation of Evidence,"During appeal the rape was converted into fornication and the accused was sentenced 5 year punishment and fine. 
It would be a fallacy to only focus on preservation period of swab standards alone to examine its authenticity. It is the DNA extracted from buckle swab standards which can stay for years. Period of approximately 1/1/2 years after collection of swabs does not seem as a period which can discredit evidentiary value of such DNA in given circumstances.",2026,2026-05-22T07:23:18.205722+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-22T07:29:34.491885+00:00
5d32b312-3730-428f-8e5d-796885991b72,19,2026 PCRLJ 277 Islamabad,Miscellaneous,The Investigating Officer cannot be confronted with a video available in the phone of the accused where there is no forensic analysis report and the IO is also appearing in the same video.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
5b84fe8b-0d03-4be2-990b-8b48b18e6e5e,20,2026 PCRLJ 272 Lahore,Miscellaneous,"If the law provides a specific method to perform any act and the said act was not done in that way, it will be presumed that the same was not done in accordance with law.",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
b9df2a24-d421-4393-b29b-4dcbe838d30f,22,2025 PCLJ 1354 LAHORE,Appreciation of Evidence,Consent defined in rape cases,2025,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
