id,backup_type,data_type,file_name,record_count,created_at,status,updated_at
193c0776-7af9-4b98-8c5f-f2908768b4d8,daily,csv_json,backup_2026-05-30,80,2026-05-30T08:20:03.166+00:00,completed,2026-05-30T08:20:09.230399+00:00
39dc8ee1-c403-4ad5-a39d-48a80756c8c9,daily,csv_json,backup_2026-05-30,80,2026-05-30T08:25:01.527+00:00,completed,2026-05-30T08:25:06.999873+00:00
70de8be9-fada-4481-b017-dbe2b9951961,daily,csv_json,backup_2026-05-30,80,2026-05-30T08:30:01.107+00:00,completed,2026-05-30T08:30:04.415145+00:00
2c4b0500-b040-449f-b6be-6d9d5dca7140,daily,csv_json,backup_2026-05-30,80,2026-05-30T09:04:23.176+00:00,completed,2026-05-30T09:04:28.852559+00:00
50c52d83-16d4-46e6-adfc-d439ca103ab8,daily,csv_json,backup_2026-05-30,80,2026-05-30T09:31:17.85+00:00,completed,2026-05-30T09:31:23.125941+00:00
550e06e4-9b1a-450d-b0cc-ae1991569591,daily,csv_json,backup_2026-05-30,80,2026-05-30T09:38:59.401+00:00,completed,2026-05-30T09:39:02.418071+00:00
f1a99cd2-1aaf-4902-a583-3654b53ff1ee,daily,csv_json,backup_2026-05-30,80,2026-05-30T16:26:39.43+00:00,completed,2026-05-30T16:26:43.566912+00:00
03e5d5f3-ca4e-4e91-8886-75439aff16e4,daily,csv_json,backup_2026-05-30,80,2026-05-30T16:34:20.495+00:00,completed,2026-05-30T16:34:22.410931+00:00
f2d0139a-2d28-40e7-b521-58fe7017df18,daily,csv_json,backup_2026-05-30,80,2026-05-30T17:29:16.386+00:00,completed,2026-05-30T17:29:20.429836+00:00
7494c508-8f8b-4b15-96c7-9a8b2b6b00bc,daily,csv_json,backup_2026-05-30,80,2026-05-30T17:54:00.054+00:00,completed,2026-05-30T17:54:05.270646+00:00
ec2bf21c-1b9d-419b-bc1a-07ff5490a0b5,daily,csv_json,backup_2026-05-30,80,2026-05-30T18:27:13.208+00:00,completed,2026-05-30T18:27:18.702658+00:00
33207263-6082-4895-b040-527a35f1af2a,daily,csv_json,backup_2026-05-30,80,2026-05-30T18:31:41.814+00:00,completed,2026-05-30T18:31:47.042674+00:00
175ea2e8-d08e-43e1-af2c-580a41cbb213,daily,csv_json,backup_2026-05-31,82,2026-05-31T04:57:02.687+00:00,completed,2026-05-31T04:57:07.358014+00:00
32cc5f39-ad55-4077-b6da-0c4b62bcf3ea,daily,csv_json,backup_2026-05-31,80,2026-05-31T05:02:27.762+00:00,completed,2026-05-31T05:02:31.193715+00:00
